,j,i,h,g,f,e,d,c,b,a,A,B,C,D,E,F,G,H,I,J
j,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14
i,16,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13
h,12,16,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
g,9,12,16,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11
f,7,9,12,16,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
e,5,7,9,12,16,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6,-7,-8,-9
d,-1,5,7,9,12,16,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6,-7,-8
c,-2,-1,5,7,9,12,16,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6,-7
b,-3,-2,-1,5,7,9,12,16,20,16,12,9,7,5,-1,-2,-3,-4,-5,-6
a,-4,-3,-2,-1,5,7,9,12,16,20,16,12,9,7,5,-1,-2,-3,-4,-5
A,-5,-4,-3,-2,-1,5,7,9,12,16,20,16,12,9,7,5,-1,-2,-3,-4
B,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20,16,12,9,7,5,-1,-2,-3
C,-7,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20,16,12,9,7,5,-1,-2
D,-8,-7,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20,16,12,9,7,5,-1
E,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20,16,12,9,7,5
F,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20,16,12,9,7
G,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20,16,12,9
H,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20,16,12
I,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20,16
J,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,7,9,12,16,20
