,j,i,h,g,f,e,d,c,b,a,A,B,C,D,E,F,G,H,I,J
j,10,9,8,7,6,5,4,3,2,1,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20
i,9,10,9,8,7,6,5,4,3,2,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19
h,8,9,10,9,8,7,6,5,4,3,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
g,7,8,9,10,9,8,7,6,5,4,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17
f,6,7,8,9,10,9,8,7,6,5,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16
e,5,6,7,8,9,10,9,8,7,6,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
d,4,5,6,7,8,9,10,9,8,7,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14
c,3,4,5,6,7,8,9,10,9,8,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13
b,2,3,4,5,6,7,8,9,10,9,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
a,1,2,3,4,5,6,7,8,9,10,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11
A,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,10,9,8,7,6,5,4,3,2,1
B,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,9,10,9,8,7,6,5,4,3,2
C,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,8,9,10,9,8,7,6,5,4,3
D,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,7,8,9,10,9,8,7,6,5,4
E,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,6,7,8,9,10,9,8,7,6,5
F,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,5,6,7,8,9,10,9,8,7,6
G,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,4,5,6,7,8,9,10,9,8,7
H,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,3,4,5,6,7,8,9,10,9,8
I,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,2,3,4,5,6,7,8,9,10,9
J,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,1,2,3,4,5,6,7,8,9,10
